Term,Definition
51% Attack,When more than 50% of the miners in a blockchain launch an attack on the rest of the nodes/users to attempt to steal assets or double spend.
Address,"Much like a URL, a blockchain address is the location to or from which transactions occur on the blockchain."
Alt-coin,Any coin or token other than Bitcoin.
Attestation Ledger,"A register or account book created for the purpose of providing support/evidence of individual transactions. Normally, an attestation ledger is used to verify that a transaction has been carried out, or to verify the authenticity of products or transactions."
Bitcoin,The first and most popular cyptocurrency based on DLT technology developed from a whitepaper written by Satoshi Nakamoto in 2008.
Block,A group of transactions entered into a blockchain; analogous to a page of a ledger or record book.
Blockchain,"A mathematical structure for storing digital transactions or data in an immutable, distributed, decentralized digital ledger consisting of blocks that are linked via cryptographic signature that is nearly impossible to fake, hack or disrupt."
Blockchain (Private a.k.a. Permissioned),A blockchain that resides on a private network of computers that is only accessible to those with permission.
Blockchain (Public a.ka. Permissionless),A blockchain that resides on a network of computers around the world that is accessible to everyone.
Byzantine Fault Tolerance (BFT),"A property of a distributed, decentralized system to resist complete failure even when some of the nodes fail or act maliciously."
Centralized,"A system or process for which there is a singular (i.e., central) source of authority, control and/or truth."
Chain of Custody,The entire chain of documentation of ownership of a product during its lifecycle from raw materials to the final end user.
Chaincode,Another name for a smart contract.
Consensus Mechanism - Proof of Authority (PoA),"PoA is an alternative form to the PoS algorithm. Instead of staking cryptocurrency (wealth), in PoA you stake your identity. This means voluntarily disclosing who you are in exchange for the right to validate blocks. Any malicious actions you undertake as a validator will reflect back on your identity. PoA blockchains require a thorough form of KYC (Know Your Customer - a verification process that determines you actually are who you claim to be)."
Consensus Mechanism - Proof of Burn (PoB),"PoB allows the miners to “burn” or destroy cryptocurrency which grants them the right to add blocks in proportion to the coins destroyed. Essentially, miners burn coins/tokens to buy virtual mining rigs that give them the power to mine blocks. The more currency burned by the miner, the bigger the ensuing virtual mining rig. To burn, miners send currency to a verifiably un-spendable address. This process does not consume many resources, thus PoB is often called PoW without energy waste. Depending upon the implementation, miners are allowed to burn the native currency or the currency of an alternative chain, and in exchange, they receive a reward in the native currency of the blockchain."
Consensus Mechanism - Proof of Capacity (PoC),"PoC allows the mining devices in the network to use their available hard drive space to decide the mining rights, instead of using the mining device’s computing power (as in PoW) or the miner’s stake in the cryptocurrency (as in PoS)."
